"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";"256";"0";"AMD";"windows";2.0;39694
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"SSD";"512";"0";"AMD";"macos";1.0;152274
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";"1024";"0";"Nvidia";"N/A";2.0;26587
"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";"128";"0";"Intel";"windows";1.0;52161
"";"";0.0;0;0;0;"";"";0.0;0;"";"0";"0";"";"other";0.0;0
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";"128";"1024";"Nvidia";"windows";2.0;53227
"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";"500";"0";"AMD";"N/A";1.0;13746
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;43636
"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Intel";"windows";1.0;35112
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";"1024";"0";"Intel";"windows";2.0;22305
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";"128";"0";"Intel";"macos";1.0;58555
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"AMD";"windows";2.0;42624
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;8;"SSD";"256";"256";"Intel";"windows";1.0;69157
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";"1024";"0";"Nvidia";"windows";2.0;47739
"Chuwi";"Notebook";15.6;1920;1080;0;"Intel";"Atom x5-Z8300";1.4;4;"Flash Storage";"64";"0";"Intel";"windows";1.0;13053
"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series E2-6110";1.5;2;"Flash Storage";"32";"0";"AMD";"windows";1.0;10603
"HP";"Notebook";17.3;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"HDD";"500";"0";"AMD";"windows";2.0;23390
"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";1.8;16;"SSD";"512";"0";"Intel";"windows";1.0;99580
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";"256";"0";"Intel";"macos";1.0;53173
"Lenovo";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";"64";"0";"Intel";"windows";1.0;13267
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.7;4;"HDD";"1024";"0";"Intel";"linux";2.0;19554
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";"128";"1024";"AMD";"windows";2.0;52161
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";"1024";"0";"Intel";"windows";1.0;26037
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Nvidia";"windows";2.0;46833
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";"1024";"0";"Intel";"linux";2.0;20726
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"256";"1024";"Nvidia";"windows";2.0;79867
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";"1024";"0";"Nvidia";"linux";2.0;27865
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";"256";"0";"Intel";"windows";2.0;36337
"Dell";"2 in 1 Convertible";17.3;1920;1080;1;"Intel";"Core i5";1.6;12;"HDD";"1024";"0";"Nvidia";"windows";2.0;53227
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.0;8;"SSD";"256";"0";"Intel";"macos";1.0;75604
"";"";0.0;0;0;0;"";"";0.0;0;"";"0";"0";"";"other";0.0;0
"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;8;"Hybrid";"256";"1024";"AMD";"windows";3.0;69211
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"SSD";"256";"0";"AMD";"windows";2.0;34046
"Asus";"Notebook";17.3;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";"1024";"0";"Nvidia";"windows";2.0;24828
"";"";0.0;0;0;0;"";"";0.0;0;"";"0";"0";"";"other";0.0;0
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Nvidia";"windows";2.0;44808
"HP";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";"256";"0";"AMD";"windows";1.0;21232
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"512";"0";"Intel";"windows";1.0;58768
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";"1024";"0";"Intel";"windows";2.0;20460
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"AMD";"windows";2.0;40908
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";"128";"0";"Intel";"windows";1.0;23390
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SSD";"256";"0";"Intel";"windows";2.0;31232
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"256";"2048";"Nvidia";"windows";2.0;130483
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";"256";"0";"Intel";"linux";2.0;22111
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";"256";"2048";"AMD";"windows";2.0;69211
"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;46833
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i3";2.7;8;"SSD";"256";"0";"Intel";"N/A";1.0;31915
"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;50136
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Intel";"windows";1.0;36763
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";"512";"0";"Nvidia";"windows";1.0;105654
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";"500";"0";"AMD";"windows";1.0;23373
"HP";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.6;4;"SSD";"32";"0";"Intel";"windows";1.0;12201
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";"1024";"0";"Intel";"windows";1.0;29251
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;12;"HDD";"1024";"0";"Nvidia";"linux";3.0;50563
"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;4;"SSD";"128";"0";"Intel";"windows";1.0;58022
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;64;"SSD";"256";"0";"AMD";"windows";1.0;50882
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"AMD";"windows";2.0;46354
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";"128";"1024";"Nvidia";"windows";2.0;58342
"Acer";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.0;8;"HDD";"1024";"0";"Intel";"windows";2.0;20726
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";"1024";"0";"Nvidia";"windows";2.0;50563
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";"2048";"0";"Intel";"N/A";2.0;27652
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";"128";"1024";"Intel";"windows";2.0;45554
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";"1024";"0";"Nvidia";"windows";2.0;28238
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";"128";"1024";"Nvidia";"windows";2.0;52055
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;58403
"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core i5";1.3;8;"SSD";"512";"0";"Intel";"macos";0.0;80453
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;45821
"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";"128";"0";"AMD";"windows";2.0;21259
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";"1024";"0";"AMD";"windows";2.0;21046
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"128";"1024";"Nvidia";"windows";2.0;71875
"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Nvidia";"windows";1.0;37243
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Intel";"windows";1.0;31914
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"128";"1024";"Nvidia";"windows";2.0;77203
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Intel";"windows";1.0;87859
"Asus";"Gaming";15.6;1920;1080;0;"AMD";"FX 9830P";3.0;8;"HDD";"1024";"0";"AMD";"windows";2.0;37243
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;2;"HDD";"1024";"0";"Nvidia";"windows";2.0;36710
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";"512";"0";"Intel";"windows";1.0;63776
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Nvidia";"windows";2.0;63670
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";"256";"0";"Intel";"windows";1.0;55891
"Acer";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;45128
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";"1024";"0";"AMD";"linux";2.0;31963
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";"256";"0";"AMD";"linux";2.0;25841
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;6;"SSD";"256";"0";"Nvidia";"windows";2.0;30743
"HP";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;12;"Hybrid";"128";"1024";"Nvidia";"windows";2.0;66547
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";"256";"0";"AMD";"windows";1.0;38308
"HP";"Notebook";15.6;1920;1080;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";"500";"0";"AMD";"windows";2.0;18595
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";"1024";"0";"AMD";"linux";2.0;34472
"HP";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";"256";"0";"Nvidia";"windows";1.0;59620
"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Intel";"windows";1.0;71395
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;6;"SSD";"256";"0";"Nvidia";"windows";1.0;35112
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";"1024";"0";"Intel";"windows";1.0;22106
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";"256";"0";"Nvidia";"windows";1.0;63563
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"256";"1024";"Nvidia";"windows";2.0;69211
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";"256";"0";"Intel";"windows";1.0;78854
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";"256";"1024";"Nvidia";"windows";1.0;67239
"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";2.4;8;"SSD";"256";"0";"Intel";"windows";1.0;73473
"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Intel";"windows";1.0;74539
"HP";"Notebook";14.0;1366;768;0;"Intel";"Core i5";1.6;4;"HDD";"500";"0";"Intel";"windows";1.0;38468
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;86793
"";"";0.0;0;0;0;"";"";0.0;0;"";"0";"0";"";"other";0.0;0
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"512";"0";"Intel";"windows";1.0;57756
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";"256";"1024";"Nvidia";"windows";2.0;60224
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";"1024";"0";"Nvidia";"windows";2.0;30050
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Nvidia";"windows";1.0;59567
"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i3";2.4;6;"HDD";"1024";"0";"Intel";"windows";2.0;25521
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"256";"2048";"Nvidia";"windows";1.0;119427
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Nvidia";"N/A";2.0;33513
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";"512";"0";"Nvidia";"windows";2.0;67719
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"SSD";"256";"0";"AMD";"windows";2.0;24029
"";"";0.0;0;0;0;"";"";0.0;0;"";"0";"0";"";"other";0.0;0
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";"1024";"0";"Intel";"windows";1.0;43263
"Asus";"Notebook";14.0;1366;768;0;"AMD";"E-Series 6110";1.5;4;"SSD";"64";"0";"AMD";"windows";1.0;14811
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";"256";"2048";"AMD";"windows";2.0;74379
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";2.0;49444
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";"1024";"0";"AMD";"windows";2.0;34045
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";"1024";"0";"AMD";"windows";2.0;23923
"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Intel";"windows";1.0;47100
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"SSD";"256";"0";"Nvidia";"windows";7.0;30476
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.7;8;"HDD";"1024";"0";"Intel";"windows";2.0;31861
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Intel";"windows";1.0;52641
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";"1024";"0";"Intel";"N/A";1.0;13446
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";"128";"1024";"Nvidia";"windows";3.0;49977
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";"1024";"0";"Nvidia";"N/A";2.0;26587
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";2.5;4;"SSD";"256";"0";"Intel";"windows";1.0;37243
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";"1024";"0";"Nvidia";"windows";3.0;34898
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"AMD";"windows";1.0;59462
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";"256";"0";"Nvidia";"N/A";2.0;46300
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.3;4;"HDD";"500";"0";"Intel";"windows";2.0;32075
"HP";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.5;4;"SSD";"256";"0";"AMD";"windows";1.0;19660
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Intel";"windows";1.0;58555
"HP";"Ultrabook";12.5;3840;2160;1;"Intel";"Core M";1.2;8;"SSD";"512";"0";"Intel";"windows";0.0;107306
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"HDD";"1024";"0";"Intel";"windows";2.0;18328
"";"";0.0;0;0;0;"";"";0.0;0;"";"0";"0";"";"other";0.0;0
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";"1024";"0";"Intel";"windows";2.0;23816
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";"512";"0";"Nvidia";"windows";2.0;66561
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";"1024";"0";"Nvidia";"windows";2.0;47899
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SSD";"128";"0";"Intel";"windows";1.0;26533
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"256";"1024";"Nvidia";"windows";2.0;100699
"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";2.7;4;"SSD";"256";"0";"Intel";"windows";1.0;57649
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;6;"SSD";"256";"0";"AMD";"windows";1.0;32980
"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;"Intel";"Core i3";2.4;4;"SSD";"256";"0";"Intel";"windows";1.0;33513
"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;70063
"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Intel";"windows";1.0;55891
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.2;4;"HDD";"500";"0";"Intel";"windows";2.0;23816
"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";"1024";"0";"AMD";"windows";2.0;21472
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";"256";"0";"Nvidia";"windows";3.0;42890
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"AMD";"windows";2.0;38788
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";"256";"0";"Nvidia";"windows";2.0;57489
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";"1024";"0";"Intel";"windows";2.0;18541
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"256";"1024";"Nvidia";"windows";2.0;95851
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";"1024";"0";"Intel";"windows";2.0;19368
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";"128";"1024";"Nvidia";"windows";2.0;56503
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Nvidia";"windows";3.0;45501
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";"500";"0";"Intel";"windows";1.0;40173
"Huawei";"Ultrabook";13.0;2160;1440;0;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Intel";"windows";1.0;71875
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";2.5;6;"HDD";"2048";"0";"AMD";"windows";2.0;37243
"Lenovo";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.9;4;"HDD";"500";"0";"AMD";"N/A";2.0;16464
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";"500";"0";"Intel";"windows";5.0;26054
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Nvidia";"windows";2.0;49177
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;8;"HDD";"1024";"0";"Intel";"windows";2.0;24456
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"SSD";"128";"0";"Intel";"windows";2.0;23923
"MSI";"Gaming";18.4;1920;1080;0;"Intel";"Core i7";2.9;32;"Hybrid";"512";"1024";"Nvidia";"windows";4.0;149131
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";"128";"1024";"AMD";"windows";1.0;43317
"HP";"2 in 1 Convertible";13.3;3840;2160;1;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;79867
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";"256";"2048";"AMD";"linux";2.0;55891
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Intel";"windows";1.0;74539
"Lenovo";"2 in 1 Convertible";13.9;3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";"512";"0";"Intel";"windows";1.0;98515
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"SSD";"128";"0";"Intel";"windows";2.0;42251
"Xiaomi";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Nvidia";"N/A";1.0;63883
"Dell";"Notebook";17.3;1920;1080;1;"Intel";"Core i7";1.8;16;"SSD";"512";"0";"Nvidia";"windows";2.0;82531
"Dell";"Notebook";15.6;3840;2160;1;"Intel";"Core i7";2.8;16;"SSD";"512";"0";"Nvidia";"windows";2.0;127712
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Nvidia";"N/A";2.0;41505
"Acer";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.2;8;"SSD";"256";"0";"Intel";"windows";1.0;52694
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";"128";"1024";"AMD";"windows";2.0;57809
"";"";0.0;0;0;0;"";"";0.0;0;"";"0";"0";"";"other";0.0;0
"Vero";"Notebook";14.0;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";"32";"0";"Intel";"windows";1.0;13853
"Xiaomi";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";"256";"0";"Nvidia";"N/A";1.0;53275
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";1.6;8;"SSD";"256";"0";"Nvidia";"N/A";2.0;37189
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";1.8;8;"HDD";"1024";"0";"Intel";"windows";1.0;44702
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";"1024";"0";"Nvidia";"windows";2.0;48698
"Razer";"Gaming";17.3;3840;2160;1;"Intel";"Core i7";2.9;32;"SSD";"1024";"0";"Nvidia";"windows";3.0;324955
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";"512";"0";"Intel";"windows";1.0;51096
"HP";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";"256";"1024";"Nvidia";"windows";3.0;73473
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";"256";"0";"Nvidia";"windows";2.0;55678
